Region,Amount_2020,Rank_2020,Amount_2021,Rank_2021,Amount_2022,Rank_2022,Amount_2023,Rank_2023,Amount_2024,Rank_2024
Central Office,350425859,1,602471395,1,465067165,1,622503467,1,635307653,1
NCR,17462536,2,6880826,3,20354788,5,23334820,4,17679310,4
CAR,9205701,12,2147030,14,11535787,11,9421767,16,9518182,12
REGION I,10105199,11,3134623,12,9894521,13,20053118,7,15432148,5
REGION II,8701377,14,3221725,11,12428555,9,17619062,10,10087458,10
REGION III,16674168,3,6765080,4,21509389,4,30369998,2,18786522,3
REGION IV-A,16308448,4,7871537,2,22453239,2,28368300,3,20124511,2
REGION IV-B,8991688,13,3646021,9,9814480,14,9616692,14,6838572,15
REGION V,14455146,5,5565602,5,22393281,3,20282278,5,10618509,9
REGION VI,12796955,6,4413679,6,13824917,8,18701838,9,12196763,8
REGION VII,11696886,7,3871214,8,14055371,7,20128537,6,14836301,6
REGION VIII,11557689,9,3396434,10,18102074,6,19903497,8,13290637,7
REGION IX,8379365,15,1886478,16,7320090,16,10927572,12,5868362,16
REGION X,11687133,8,3076169,13,11741571,10,15217435,11,9652606,11
REGION XI,11305446,10,4392742,7,10470140,12,9787317,13,8239933,13
REGION XII,8198079,16,1938818,15,7913395,15,9492941,15,7431724,14
REGION XIII,6333850,17,1794916,17,6358323,17,7392401,17,5197555,17
