province,region,year,dead,injured/ill,missing,affected_families,affected_persons,dmg_house_totally,dmg_house_partial,cost_agri,cost_infra,cost_house,cost_priv,cost_others,cost_total
without breakdown,I,2003,24,11,6,0,0,100,601,12702453.0,0.0,0.0,0.0,0.0,12702453.0
Ilocos Norte,I,2003,0,0,0,4232,18878,55,854,1860000.0,8881190.0,0.0,0.0,0.0,10741190.0
Ilocos Sur,I,2003,0,0,0,367,2084,0,10,896000.0,11350000.0,0.0,0.0,0.0,12246000.0
La Union,I,2003,0,0,0,15726,73830,120,1037,2139000.0,17450000.0,0.0,0.0,0.0,19589000.0
Pangasinan,I,2003,0,0,0,139982,689011,448,1156,149188000.0,87549815.0,0.0,0.0,0.0,236737815.0
Isabela,II,2003,0,0,0,150814,704067,7330,35567,1125647431.0,48770000.0,0.0,0.0,0.0,1174417431.0
without breakdown,II,2003,33,119,3,0,0,0,0,0.0,11083425.0,0.0,0.0,0.0,11083425.0
Cagayan,II,2003,0,0,0,35524,163917,21,356,486106221.0,850000.0,0.0,0.0,0.0,486956221.0
Nueva Vizcaya,II,2003,0,0,0,1292,6297,35,165,64635234.0,228900000.0,0.0,0.0,0.0,293535234.0
Quirino,II,2003,0,0,0,23164,97730,807,526,193901016.0,25623000.0,0.0,0.0,0.0,219524016.0
without breakdown,III,2003,16,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Nueva Ecija,III,2003,0,0,0,44585,211445,160,477,17546000.0,30038000.0,0.0,0.0,0.0,47584000.0
Aurora,III,2003,0,0,0,8724,43170,1905,3888,325000000.0,200500000.0,0.0,0.0,0.0,525500000.0
Bataan,III,2003,0,0,0,1235,5756,2,34,2900000.0,5100000.0,0.0,0.0,0.0,8000000.0
Pampanga,III,2003,0,0,0,29481,145681,0,40,40468178.0,2310870.0,0.0,0.0,0.0,42779048.0
Tarlac,III,2003,0,0,0,25078,116204,35,334,21828320.0,28500000.0,0.0,0.0,0.0,50328320.0
Zambales,III,2003,0,0,0,3950,18718,0,3,0.0,0.0,0.0,0.0,0.0,0.0
Bulacan,III,2003,0,0,0,6390,33567,0,0,0.0,0.0,0.0,0.0,0.0,0.0
