province,region,year,dead,injured/ill,missing,affected_families,affected_persons,dmg_house_totally,dmg_house_partial,cost_agri,cost_infra,cost_house,cost_priv,cost_others,cost_total
Abra,CAR,2020,0,0,0,0,0,0,0,0.0,7400000.0,0.0,0.0,0.0,7400000.0
Abra,CAR,2021,0,0,0,39846,147813,0,1,196027487.47,52469681.0,0.0,0.0,0.0,248497168.47
Abra,CAR,2022,0,0,0,3393,12927,1,24,315153.16000000003,110324560.0,0.0,0.0,0.0,110639713.16
Abra,CAR,2023,0,0,0,5719,20194,0,7,25000.0,0.0,0.0,0.0,0.0,25000.0
Abra,CAR,2024,0,1,0,58830,201199,0,16,4302986.57,89663000.0,0.0,0.0,0.0,93965986.57
Agusan del Norte,CARAGA,2020,0,0,0,641,2709,0,0,12315201.0,0.0,0.0,0.0,0.0,12315201.0
Agusan del Norte,CARAGA,2021,2,5,0,58178,241618,2861,9332,132133284.88,281467600.0,0.0,0.0,401971628.88,815572513.76
Agusan del Norte,CARAGA,2022,0,0,0,67,290,18,12,0.0,0.0,0.0,0.0,0.0,0.0
Agusan del Norte,CARAGA,2023,0,0,0,319,1413,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Agusan del Norte,CARAGA,2024,0,0,0,380,1651,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Agusan del Sur,CARAGA,2020,3,0,2,31516,135883,365,61,28601543.0,0.0,0.0,0.0,0.0,28601543.0
Agusan del Sur,CARAGA,2021,7,0,5,35605,131149,138,512,222540570.0,106300000.0,0.0,0.0,271096932.0,599937502.0
Agusan del Sur,CARAGA,2022,0,0,0,7020,30974,2,2,0.0,0.0,0.0,0.0,0.0,0.0
Agusan del Sur,CARAGA,2023,0,0,0,16496,69224,26,189,16470020.0,0.0,0.0,0.0,0.0,16470020.0
Agusan del Sur,CARAGA,2024,0,0,0,5,24,1,4,0.0,0.0,0.0,0.0,0.0,0.0
Aklan,VI,2020,0,0,0,0,0,0,0,1226045.0,0.0,0.0,0.0,0.0,1226045.0
Aklan,VI,2021,0,0,0,21639,82934,20,1624,20428800.69,0.0,0.0,0.0,10256229.29,30685029.98
Aklan,VI,2022,7,1,1,98978,355201,167,6239,84183315.03,0.0,0.0,0.0,0.0,84183315.03
Aklan,VI,2023,1,0,0,63,200,1,8,0.0,0.0,0.0,0.0,0.0,0.0
Aklan,VI,2024,0,0,0,38925,155289,0,1,105392.33,0.0,0.0,0.0,0.0,105392.33
Albay,V,2020,13,18,3,212331,788586,18050,72501,4192927766.8,40517747272.02,0.0,0.0,159756378.78,44870431417.600006
Albay,V,2021,0,0,0,22290,83628,0,0,98830027.86,36800000.0,0.0,0.0,640500.0,136270527.86
Albay,V,2022,0,0,0,30252,115215,0,0,56370495.21,463600000.0,0.0,0.0,0.0,519970495.21
Albay,V,2023,0,0,0,57,199,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Albay,V,2024,0,4,0,376195,1456535,12,0,8350844.06,1905833.5,0.0,0.0,0.0,10256677.56
Antique,VI,2020,1,0,0,1323,4982,5,54,40888603.75,0.0,0.0,0.0,0.0,40888603.75
Antique,VI,2021,0,0,0,45718,179157,2392,20189,194905270.7,2100000.0,0.0,0.0,172163358.82,369168629.52
Antique,VI,2022,14,0,4,76039,302152,968,5404,460762915.59,0.0,0.0,0.0,0.0,460762915.59
Antique,VI,2023,0,0,0,4164,18536,11,42,206244.0,0.0,0.0,0.0,0.0,206244.0
Antique,VI,2024,1,0,0,60593,206750,9,46,12308831.23,0.0,0.0,0.0,0.0,12308831.23
Apayao,CAR,2020,0,0,0,157,639,2,2,3338683.2,0.0,0.0,0.0,0.0,3338683.2
Apayao,CAR,2021,0,0,0,81,279,0,0,57531857.93,94449906.36,0.0,0.0,0.0,151981764.29
Apayao,CAR,2022,0,1,1,2537,8670,1,1,81280161.8,264960000.0,0.0,0.0,0.0,346240161.8
Apayao,CAR,2023,0,0,0,14,46,0,2,0.0,5583418.96,0.0,0.0,0.0,5583418.96
Apayao,CAR,2024,0,0,0,21897,76974,0,0,8000.0,5533000.0,0.0,0.0,0.0,5541000.0
Aurora,III,2020,0,2,0,5233,18338,0,0,75090812.8,8000000.0,0.0,0.0,0.0,83090812.8
Aurora,III,2021,0,0,0,0,0,0,0,9793469.84,0.0,0.0,0.0,0.0,9793469.84
Aurora,III,2022,0,32,0,14184,50593,443,3898,85490390.82,10000000.0,0.0,0.0,0.0,95490390.82
Aurora,III,2023,0,0,0,2990,11361,2,2,283991.6,0.0,0.0,0.0,0.0,283991.6
Aurora,III,2024,0,0,0,75148,251806,5,17,75696487.7,0.0,0.0,0.0,0.0,75696487.7
BARMM,CARAGA,2021,0,0,0,8537,38123,13,60,0.0,0.0,0.0,0.0,0.0,0.0
BARMM,CARAGA,2022,68,169,13,274484,1077338,1062,1153,640499556.57,511200000.0,0.0,0.0,0.0,1151699556.57
BARMM,CARAGA,2024,6,8,0,272943,1362297,143,371,0.0,0.0,0.0,0.0,0.0,0.0
Basilan,CARAGA,2022,0,0,0,499,1994,0,0,4316000.0,0.0,0.0,0.0,0.0,4316000.0
Basilan,CARAGA,2024,0,1,0,786,3815,1,5,0.0,0.0,0.0,0.0,0.0,0.0
Bataan,III,2020,0,0,0,2945,11549,0,0,63161083.0,0.0,0.0,0.0,0.0,63161083.0
Bataan,III,2021,0,0,0,225,881,0,1,72636939.47,0.0,0.0,0.0,0.0,72636939.47
Bataan,III,2022,0,0,0,18348,72907,10,81,124246192.46,0.0,0.0,0.0,0.0,124246192.46
Bataan,III,2023,0,0,0,75,329,0,0,34290.0,0.0,0.0,0.0,0.0,34290.0
Bataan,III,2024,0,0,0,235462,798197,0,0,198482639.72,263027970.23,0.0,0.0,0.0,461510609.95
Batanes,II,2020,0,0,0,0,0,0,0,755000.0,0.0,0.0,0.0,0.0,755000.0
Batanes,II,2021,0,27,0,6004,20570,0,0,85290445.75,237368591.37,0.0,0.0,0.0,322659037.12
Batanes,II,2022,0,0,0,2,10,0,0,7460819.21,0.0,0.0,0.0,0.0,7460819.21
Batanes,II,2023,0,0,0,6588,21033,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Batanes,II,2024,0,0,0,19391,56222,0,0,2085213.19,49500000.0,0.0,0.0,0.0,51585213.19
Batangas,CALABARZON,2020,4,3,1,28398,114022,647,7842,860227036.04,1232237049.09,0.0,0.0,0.0,2092464085.13
Batangas,CALABARZON,2021,3,3,1,13267,52017,298,4230,1357877494.14,590509999.5,0.0,0.0,0.0,1948387493.64
Batangas,CALABARZON,2022,6,1,2,20237,84675,244,5088,653510185.2800001,564496100.0,0.0,0.0,4110400.0,1222116685.28
Batangas,CALABARZON,2023,0,0,0,13,57,0,0,2738300.99,0.0,0.0,0.0,0.0,2738300.99
Batangas,CALABARZON,2024,5,0,0,96637,406419,166,1425,9311369.0,406798000.0,0.0,0.0,0.0,416109369.0
Benguet,CAR,2020,0,0,0,37,146,1,0,2311856.0,0.0,0.0,0.0,0.0,2311856.0
Benguet,CAR,2021,10,6,1,8121,27484,3,51,53397519.77,93783957.39,0.0,0.0,0.0,147181477.16
Benguet,CAR,2022,0,3,0,7129,18474,8,111,9383163.18,204736030.0,0.0,0.0,0.0,214119193.18
Benguet,CAR,2023,0,1,0,367,1554,0,9,0.0,68695.58,0.0,0.0,0.0,68695.58
Benguet,CAR,2024,0,3,0,13146,44812,18,110,409701.53,193018595.52,0.0,0.0,0.0,193428297.05
Biliran,VIII,2020,0,0,0,93,399,2,0,686308.5,0.0,0.0,0.0,0.0,686308.5
Biliran,VIII,2021,0,3,0,3050,14812,38,788,326754928.58,0.0,0.0,0.0,0.0,326754928.58
Biliran,VIII,2022,0,7,0,10222,38195,7,151,16869176.17,0.0,0.0,0.0,0.0,16869176.17
